Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2019-01-22,37.37855529785156,37.807835,36.650406,37.053356,36.59124,36.452263,36.410374,33.652287
2019-01-23,37.52972412109375,37.823822,36.641087,37.131996,36.665413,36.502064,36.477318,33.679028
2019-01-24,37.23225402832031,37.657158,36.674675,37.19489,36.72369,36.557083,36.533524,33.706936
2019-01-25,38.466007232666016,37.393517,36.730984,37.225525,36.75106,36.59895,36.56389,33.7307
2019-01-28,38.11002731323242,37.503677,36.742565,37.302837,36.824184,36.657227,36.632034,33.755596
2019-01-29,37.715030670166016,37.76933,36.770992,37.385094,36.90316,36.719906,36.70516,33.78832
2019-01-30,40.292266845703125,37.885654,36.80783,37.443577,36.95854,36.771114,36.758472,33.819122
2019-01-31,40.582427978515625,38.560028,36.85268,37.63333,37.141647,36.90337,36.923134,33.87224
2019-02-01,40.60193634033203,39.55327,36.92084,37.907158,37.406593,37.089527,37.16007,33.95503
2019-02-04,41.755226135253906,40.356285,37.089195,38.222572,37.710438,37.328625,37.436165,34.06364
2019-02-05,42.469642639160156,41.062077,37.25124,38.607334,38.077946,37.614845,37.770844,34.187546
2019-02-06,42.48426818847656,41.728683,37.44835,39.05389,38.502655,37.95192,38.15955,34.333115
2019-02-07,41.67964553833008,42.165478,37.66856,39.512085,38.93587,38.30746,38.55962,34.490055
2019-02-08,41.728614807128906,42.063477,37.910927,39.904423,39.303646,38.635174,38.906166,34.643173
2019-02-11,41.48863983154297,41.691994,38.178093,40.237118,39.613243,38.938236,39.204193,34.786064
2019-02-12,41.846160888671875,41.28072,38.467728,40.498783,39.855953,39.203537,39.44386,34.916233
2019-02-13,41.67229461669922,41.124172,38.771423,40.72153,40.063206,39.44512,39.65089,35.03375
2019-02-14,41.824119567871094,41.15687,39.05435,40.89471,40.225,39.645966,39.81511,35.13532
2019-02-15,41.73106002807617,41.325287,39.317856,41.036327,40.358047,39.817604,39.951122,35.222393
2019-02-19,41.855953216552734,41.4919,39.562176,41.144485,40.460438,39.95864,40.05726,35.296776
2019-02-20,42.12531280517578,41.631355,39.7842,41.232895,40.54473,40.077576,40.144737,35.35977
2019-02-21,41.88778305053711,41.796112,40.002605,41.319992,40.628536,40.18954,40.229362,35.41704
